순위,등록번호,상호,시공능력평가액(천원),
"106","201177","유피이엔씨(주)","  32,331,000"
"107","110056","(주)이화텔레콤","  32,261,900"
"108","200778","디에스지엔(주)","  32,230,500"
"109","201504","주식회사 벡트(VECT)","  31,686,400"
"110","130183","대신네트웍스(주)","  31,208,500"
"111","112106","건아정보기술(주)","  31,150,700"
"112","110929","현대에이치티 주식회사 (HYUNDAI HT CO,LTD.)","  31,083,300"
"113","120086","엘에스마린솔루션 주식회사 (LS Marine Solution Co., Ltd.)","  30,996,000"
"114","350120","(주)아이엠피","  30,906,500"
"115","110213","(주)데스코(DESCO Co,.Ltd.)","  30,886,300"
"116","111212","이앤비정보통신(주)","  30,672,900"
"117","111753","(주)우호텔레콤","  30,575,100"
"118","410108","주식회사 넷워크인","  30,562,500"
"119","120497","주식회사 지씨(GC Co., Ltd.)","  30,284,200"
"120","530184","주식회사 태왕이앤씨","  30,262,500"
"121","110273","메타넷디지털 주식회사","  30,155,500"
"122","610162","중흥토건(주)","  30,100,900"
"123","510018","앤시정보기술(주)","  29,761,400"
"124","110587","대신통신기술(주)","  29,533,000"
"125","120230","(주)케이투","  29,436,400"
"126","550181","주식회사 아이웍스","  29,394,200"
"127","310875","에스트래픽(주)","  28,989,800"
"128","110103","(주)명신시스템","  28,977,500"
"129","310685","주식회사 윈스테크넷 (WINS Technet Co., Ltd.)","  28,839,200"
"130","110211","대신네트웍스(주)","  28,830,300"
"131","310084","(주)컴피아","  28,825,300"
"132","170031","(주)유선통신","  28,815,800"
"133","510244","(주)씨넷","  28,788,800"
"134","111759","삼언전공(주)","  28,777,800"
"135","113110","아마노코리아(주)","  28,754,900"
"136","112785","(주)시큐인포","  28,716,200"
"137","202379","티엔에스아이(주)","  28,705,900"
"138","200881","(주)어빌리티시스템즈","  28,677,100"
"139","110760","(주)아이엔지시스템","  28,671,000"
"140","110285","(주)탑엔지니어링","  28,632,200"
"141","112793","드림네트웍스(주)","  28,604,300"
"142","110500","(주)아이엔아이","  28,591,400"
"143","640007","포원정보통신(주)","  28,405,400"
"144","200151","(주)넥스파시스템","  28,361,700"
"145","120148","(주)제일정보통신","  28,259,500"
"146","203800","주식회사 가온데이터","  28,092,000"
"147","201056","(주)경림이앤지","  27,893,600"
"148","150278","에스정보통신(주)","  27,785,800"
"149","200811","(주)케이티서비스북부","  27,675,100"
"150","120303","대신네트웍스(주)","  27,674,300"
"151","110096","(주)대인정보통신","  27,591,200"
"152","160136","(유)미주계전","  27,489,900"
"153","111053","주식회사 케이원","  27,255,000"
"154","112949","주식회사 인콘(INCON Co., Ltd.)","  27,187,900"
"155","112156","영현정보통신(주)","  26,978,900"
"156","140136","중흥건설(주)","  26,783,400"
"157","112356","대성네트웍(주)","  26,629,700"
"158","112270","(주)경우이앤씨","  26,506,800"
"159","203712","주식회사 팬택씨앤아이엔지니어링(Pentech C&I Engineering CO.,LTD.)","  26,446,400"
"160","150143","(주)창원기전","  26,410,200"
"161","110300","롯데건설(주)","  26,384,300"
"162","110423","주식회사 아이티센씨티에스 (ITCENCTS CO.,LTD.)","  26,238,600"
"163","110849","코오롱베니트(주)","  26,231,600"
"164","310566","(주)서호이앤씨","  25,989,700"
"165","320162","(주)유라이프솔루션즈","  25,824,300"
"166","311329","(주)위드아이에스","  25,479,800"
"167","110489","주식회사 디티(DT INC.)","  25,472,100"
"168","130292","(주)원테크","  25,277,900"
"169","201567","이노뎁(주)","  25,132,900"
"170","111022","에이치엘디앤아이한라 주식회사 (HL D&I HALLA CORPORATION)","  25,086,900"
"171","113042","제이케이앤티텔레콤(주)","  25,062,100"
"172","111589","(주)케이티","  25,023,300"
"173","113123","코위버(주)","  24,922,500"
"174","110055","주식회사 한영씨앤이","  24,884,200"
"175","200820","(주)컴버스테크","  24,835,800"
"176","200105","(주)부현전기","  24,718,300"
"177","111590","(주)한일에스티엠","  24,642,200"
"178","110097","대신정보기술(주)","  24,549,200"
"179","110315","주식회사 에이치제이중공업","  24,425,100"
"180","200345","주식회사 라피치(RAPEECH Co.,Ltd)","  24,277,000"
"181","140010","금호건설 주식회사","  24,133,300"
"182","130091","계룡건설산업(주)","  24,128,200"
"183","310512","(주)이에스통신","  24,098,000"
"184","110997","콤시스 주식회사(Comsys Co., Ltd)","  24,043,400"
"185","150264","(주)한샘정보통신","  23,961,300"
"186","110432","주식회사 한라인프라코어","  23,917,500"
"187","111085","교보디티에스 주식회사","  23,897,900"
"188","150106","동서통신(주)","  23,877,300"
"189","310565","(주)싸이몬","  23,625,000"
"190","130303","(주)우정넷","  23,623,400"
"191","120361","(주)코넥","  23,454,000"
"192","540489","주식회사 코디아이앤씨","  23,450,900"
"193","201548","이노테크놀로지(주)","  23,417,700"
"194","110400","(주)인성정보","  23,341,200"
"195","140343","유한책임회사 엔에이치네트웍스","  23,334,300"
"196","420018","주식회사 케이티엠오에스남부 (kt MOS Nambu Corporation)","  23,272,800"
"197","150588","주식회사 와이엔티솔루션","  23,239,100"
"198","530023","(주)한아아이티","  23,238,600"
"199","350122","(주)그린아이티코리아","  23,219,800"
"200","201238","(주)에스피엔이","  23,195,500"
"201","150628","(합자)태성산업사","  23,163,600"
"202","202517","주식회사 인텔리빅스","  23,152,800"
"203","202463","(주)클라우드네트웍스","  23,139,400"
"204","200246","(주)서경엔씨에스","  23,120,900"
"205","530111","양산정보통신(주)","  23,114,100"
"206","130129","(주)광진통신","  23,053,300"
"207","111811","대일전기통신(주)","  23,011,300"
"208","110795","두산건설(주)","  22,997,800"
"209","550149","(주)송우인포텍","  22,997,400"
"210","120072","삼영이엔씨(주)","  22,989,900"
"211","110538","(주)코맥스","  22,940,600"
"212","112736","(주)오버넷","  22,908,000"
"213","310242","주식회사 진인프라(Jininfra Co.,Ltd.)","  22,880,000"
"214","420025","(주)신화통신","  22,847,100"
"215","200640","에스케이브로드밴드(주)","  22,739,700"
"216","110730","(주)신보","  22,709,800"
"217","140158","대신정보통신(주)","  22,709,800"
"218","202701","(주)퍼니포커스","  22,695,300"
"219","111275","주식회사 비에프랩스 (BFLABS Co.,LTD.)","  22,669,100"
"220","310463","(주)세한이엔씨","  22,668,800"
"221","202097","주식회사 세종아이티엘 (SEJONGITL Ltd.)","  22,650,600"
"222","201342","주식회사 오파스넷(OPASNET co., Ltd)","  22,506,500"
"223","140145","한주통신(주)","  22,502,500"
"224","320025","서부네트웍스(주)","  22,498,400"
"225","112279","(주)케이디정보기술","  22,451,300"
"226","150275","(주)진명아이앤씨","  22,427,200"
"227","310389","(주)지성정보통신","  22,318,600"
"228","310499","주식회사 에스노바시스템즈(Snova Systems Co.,Ltd.)","  22,317,000"
"229","110316","(주)엠비씨씨앤아이","  22,283,000"
"230","160178","(주)이레유비크","  22,244,400"
"231","530224","(주)유비텍","  22,223,500"
"232","420022","(주)이노솔루텍","  22,197,400"
