대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,13497,(주)금호비젼,최금란,경기도 구리시 동구릉로431번길,경2 -00505,1700382000,,,,,,
전기설비,전기공사업,6479,주식회사 금호산업개발,안정민,경기도 화성시 병점구 떡전골로,광주-00840,3480028000,,,,,,
전기설비,전기공사업,17165,금호아이티 주식회사,장복규,전남광주통합특별시 순천시,전남-01979,1181514000,,,,,,
전기설비,전기공사업,15258,(주)금호에스코,박남식,"서울특별시 은평구 역말로9길 29,",서울-05261,1436146000,,,,,,
전기설비,전기공사업,19671,(주)금호이.티.시,김두현,경상남도 김해시 칠산로291번길,경북-00261,788736000,,,,,,
전기설비,전기공사업,15056,주식회사 금호이앤지,박미화,"인천광역시 제물포구 방축로37번길 30,",충북-00238,1463568000,,,,,,
전기설비,전기공사업,1212,금호이앤지 주식회사,이임식,경기도 용인시 처인구 이동읍,대구-00867,12465040000,,,,,,
전기설비,전기공사업,7398,주식회사 금호이엔씨,최수경,경상북도 영천시 금호읍 금호시장길,경기-04603,3103308000,,,,,,
전기설비,전기공사업,10728,금호이엔씨 주식회사,김명환,충청남도 천안시 동남구 태조산길,인천-01200,2188659000,,,,,,
전기설비,전기공사업,1288,금호이엔지 주식회사,김승규,"서울특별시 성북구 보문로38길 11, 3층",서울-05167,11988235000,,,,,,
전기설비,전기공사업,11930,금호전기,구연문,경상북도 경산시 원효로40길,경북-00571,1969809000,,,,,,
전기설비,전기공사업,4998,주식회사 금호전기,김해식,충청남도 공주시 우금티로,경기-03930,4372424000,,,,,,
전기설비,전기공사업,14034,금호전기,고경진,인천광역시 남동구 호구포로 139,인천-00881,1611774000,,,,,,
전기설비,전기공사업,17823,금호전기,백영일,"경상북도 안동시 광명로 206-15,",경북-00476,1086349000,,,,,,
전기설비,전기공사업,10457,금호전기 주식회사,이이섭,충청남도 천안시 동남구 태조산길,충남-01476,2244197000,,,,,,
전기설비,전기공사업,2063,금호전기(주),이홍민,서울특별시 구로구 디지털로33길,서울-00607,8735257000,,,,,,
전기설비,전기공사업,12626,금호전기공사,고영호,제주특별자치도 제주시 천수로6길,제주-00093,1846473000,,,,,,
전기설비,전기공사업,8324,금호전기조명(주),김미숙,경기도 군포시 당산로192번길,경기-03530,2791997000,,,,,,
전기설비,전기공사업,302,(주)금호전력,장명석,전남광주통합특별시 광양시 옥정로,전남-00108,30213276000,,,,,,
전기설비,전기공사업,11114,금호전력 주식회사,이봉근,경기도 의정부시 호국로1187번길,경북-00584,2115907000,,,,,,
전기설비,전기공사업,12799,금호전력 주식회사,임유미,경상북도 김천시 구성면 양각길 329-2,경북-02184,1818097000,,,,,,
전기설비,전기공사업,6287,금호전력 주식회사,박영균,경기도 군포시 공단로124번길,경기-02869,3564176000,,,,,,
전기설비,전기공사업,2251,금호전력 주식회사,윤영숙,"경기도 파주시 검산로 144,",부산-00505,8213247000,,,,,,
전기설비,전기공사업,17303,금호전력공사,임채석,경기도 용인시 처인구 동부로165번길,경기-03472,1161802000,,,,,,
전기설비,전기공사업,14011,금호전력공사,김인겸,부산광역시 사하구 하단동 88-5,부산-01965,1614513000,,,,,,
전기설비,전기공사업,17774,금호전설,김지호,"경기도 김포시 사우중로11번길 9,",경기-01441,1094902000,,,,,,
전기설비,전기공사업,17352,주식회사 금호전설,호예주,충청북도 진천군 진천읍,충북-01005,1154409000,,,,,,
