대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업(전문),5258,주식회사 한울방재,이용우,울산,2024-02-00026,752200,,,,,,
소방설비,소방시설공사업(전문),5259,현대기술산업 주식회사,이지철,서울,2019-02-00464,752100,,,,,,
소방설비,소방시설공사업(전문),5260,태영이엔씨 주식회사,성영기,경기(남),2018-02-00496,752000,,,,,,
소방설비,소방시설공사업(전문),5261,(주)그린엔지니어링,김영태,전북,제2009-1호,751800,,,,,,
소방설비,소방시설공사업(일반·전기),14,(주)강남전기공사,나중안,서울,제서초2007-24호,751500,,,,,,
소방설비,소방시설공사업(전문),5262,거성전력,김용판,경남,제2007-04호,751500,,,,,,
소방설비,소방시설공사업(전문),5263,주식회사 목성,정영권,전남광주(전남),2024-02-00244,751100,,,,,,
소방설비,소방시설공사업(전문),5264,주식회사 서진산전,정병진,전남광주(광주),2021-02-00151,750900,,,,,,
소방설비,소방시설공사업(전문),5265,(주)한미전력,기기주,전남광주(광주),2019-02-00488,750400,,,,,,
소방설비,소방시설공사업(일반·기계),7,유현이앤지 주식회사,여순자,경기(남),2018-02-00493,750200,,,,,,
소방설비,소방시설공사업(전문),5266,(주)한성이엔지,서광희,대구,2022-02-00432,750100,,,,,,
소방설비,소방시설공사업(전문),5267,(주)그리마건설,김부휘,경기(남),경기평택 제2007-2호,749900,,,,,,
소방설비,소방시설공사업(전문),5268,(주)수원전기,이남희,부산,제2014-10호,749600,,,,,,
소방설비,소방시설공사업(전문),5269,주식회사 하진,김보경,부산,제2010-6호,749400,,,,,,
소방설비,소방시설공사업(전문),5270,(주)천지이앤씨,박진섭,경기(남),2023-02-00365,748500,,,,,,
소방설비,소방시설공사업(전문),5271,(주)도민소방설비,이한욱,강원,제277호,748200,,,,,,
소방설비,소방시설공사업(전문),5272,주식회사 덕양이엔씨,이상길,충남,2015-02-00293,748100,,,,,,
소방설비,소방시설공사업(전문),5273,영원엔지니어링 주식회사,홍화자,강원,2026-02-00038,747600,,,,,,
소방설비,소방시설공사업(전문),5274,(주)부성전기,신홍현,전남광주(전남),2025-02-00041,746900,,,,,,
소방설비,소방시설공사업(전문),5275,(주)하이테크엔지니어링,장영,전남광주(전남),제2011-나-6호,746600,,,,,,
소방설비,소방시설공사업(전문),5276,(주)전기안전,이영홍,전남광주(전남),2016-02-00030,746600,,,,,,
소방설비,소방시설공사업(전문),5277,태풍소방,김태경,인천,2023-02-00082,746600,,,,,,
소방설비,소방시설공사업(전문),5278,주식회사 고산,고영민,제주,제2006-75호,746500,,,,,,
소방설비,소방시설공사업(전문),5279,(주)탑엔지니어링,이재국,경남,경남창원 제2009-8호,746200,,,,,,
소방설비,소방시설공사업(전문),5280,주식회사 퍼스트에너지,노정숙,전북,2021-02-00240,746000,,,,,,
소방설비,소방시설공사업(전문),5281,(유)신광종합방재,강남규,전북,제2004-5호,745900,,,,,,
소방설비,소방시설공사업(전문),5282,(주)해원이앤지,김현배,충남,2019-02-00520,745800,,,,,,
소방설비,소방시설공사업(전문),5283,동명전기 주식회사,임선기,경기(남),2021-02-00614,745400,,,,,,
소방설비,소방시설공사업(전문),5284,주식회사 해도전력,최영훈,대구,제2009-26호,745300,,,,,,
소방설비,소방시설공사업(전문),5285,주식회사 한광,이경이,전북,2024-02-00269,744900,,,,,,
소방설비,소방시설공사업(전문),5286,(주)동원엔텍,이상희,경남,2024-02-00365,744800,,,,,,
소방설비,소방시설공사업(전문),5287,현대엠테크 주식회사,박영주,충북,2020-02-00515,744500,,,,,,
소방설비,소방시설공사업(전문),5288,주식회사 더나은건설,노형석,전남광주(광주),2015-02-00101,744100,,,,,,
소방설비,소방시설공사업(전문),5289,주식회사 고센,최정열,강원,2016-02-00301,743500,,,,,,
소방설비,소방시설공사업(전문),5290,(주)나은엔지니어링,김철호,인천,2022-02-00210,743400,,,,,,
소방설비,소방시설공사업(일반·기계),8,하나엔지니어링 주식회사,김태영,대구,제2014-2호,743300,,,,,,
소방설비,소방시설공사업(전문),5291,만리산업(주),이태신,강원,제삼척67호,743000,,,,,,
소방설비,소방시설공사업(전문),5292,주식회사 금정소방이엔지,김주하,경북,2025-02-00242,742800,,,,,,
