대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
기계설비,기계설비·가스공사업,5546,정우엔지니어링(주),최응범,강원,인제2009-10-02,1405,628,434,297,44,545,2
기계설비,기계설비·가스공사업,5547,(주)정우엔지니어링,정태우,충북,충북-95-12-14,2399,339,1580,444,33,724,2
기계설비,기계설비·가스공사업,5548,(주)정우엠이엔티,정인수,서울,97-서울-12-16,4335,1422,2428,342,142,2231,2
기계설비,기계설비·가스공사업,5549,(주)정우이엔씨,김미정,광주,광주서2008-10-08,1716,573,782,320,40,636,2
기계설비,기계설비·가스공사업,5550,(주)정우이엔씨,"양호석, 김민기",부산,거제 2013-10-01,5718,2215,2957,386,158,3151,2
기계설비,기계설비·가스공사업,5551,(주)정우이엔지,임춘옥,경남,창원의창 2014-10-03,3337,1571,1258,395,112,2445,2
기계설비,기계설비·가스공사업,5552,정우이엔티(주),박병선,제주,안양-15-10-4,1876,622,929,297,26,2216,2
기계설비,기계설비·가스공사업,5553,정웅이엔씨(주),정윤교,인천,강원2001-12-7,946,164,467,297,16,351,2
기계설비,기계설비·가스공사업,5554,(주)정원엔지니어링,심병국,광주,광주북2002-12-03,1499,254,579,640,25,287,4
기계설비,기계설비·가스공사업,5555,(주)정원엔지니어링,정주용,경기,김포-2001-12-0001,3230,749,1662,744,74,1621,5
기계설비,기계설비·가스공사업,5556,(주)정원엔지니어링,이미경,충북,충북청주21-10-2,1262,302,479,480,0,467,3
기계설비,기계설비·가스공사업,5557,(주)정원엔지니어링,류완희,충남,충남연기-2002-12-01,3543,79,900,2556,7,64,15
기계설비,기계설비·가스공사업,5558,(주)정원이앤씨,김정배,전남,여수2003-12-05,4155,1301,2045,678,130,2397,4
기계설비,기계설비·가스공사업,5559,(주)정이앤에프,정찬모,경기,의정부2021-10-3,2423,846,1276,299,0,1378,2
