대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
소방설비,소방시설공사업,5530.0,금호전력 주식회사,박영균,경기(남),2021-02-00171,707600,,,,,,
소방설비,소방시설공사업,5531.0,(주)대상이엔지,양영주,충남,제2008-4호,707500,,,,,,
소방설비,소방시설공사업,5532.0,주식회사 한솔소방,이상기,경남,2024-02-00230,707300,,,,,,
소방설비,소방시설공사업,5533.0,(자)돈흥전기,채교성,세종,제세종시소방 2012-1-8호,706400,,,,,,
소방설비,소방시설공사업,5534.0,(주)성수전기이엔씨,조관영,서울,2022-02-00227,706200,,,,,,
소방설비,소방시설공사업,5535.0,(주)정도기전,이재번,서울,2017-02-00594,706000,,,,,,
소방설비,소방시설공사업,5536.0,주식회사 하나이엔지전력,정인태,경기(남),2017-02-00538,706000,,,,,,
소방설비,소방시설공사업,21.0,(주)일민전력,김순기,서울,제광진2011-1호,705500,,,,,,
소방설비,소방시설공사업,5537.0,세종전력 주식회사,이종관,충북,2023-02-00084,705000,,,,,,
소방설비,소방시설공사업,5538.0,세아이앤지 주식회사,박세호,광주,2022-02-00346,704900,,,,,,
소방설비,소방시설공사업,5539.0,주식회사 삼우,안준교,강원,제323호,704800,,,,,,
소방설비,소방시설공사업,5540.0,하기지앤텍,노달호,경기(북),2019-02-00435,704400,,,,,,
소방설비,소방시설공사업,5541.0,주식회사 오성건설,김남수,강원,2020-02-00504,704200,,,,,,
소방설비,소방시설공사업,5542.0,주식회사 정목이엔지,이정우,경기(남),2023-02-00255,703500,,,,,,
소방설비,소방시설공사업,5543.0,(주)서룡전기,김경미,충남,제2014-4호,703000,,,,,,
소방설비,소방시설공사업,5544.0,주식회사 뉴젠스,임영필,경기(남),2020-02-00658,702900,,,,,,
소방설비,소방시설공사업,5545.0,주식회사 레이테크,강대욱,전북,2024-02-00263,702700,,,,,,
소방설비,소방시설공사업,22.0,(주)성온전설,김종권,서울,제중부2010-2호,702100,,,,,,
소방설비,소방시설공사업,5546.0,(주)웅비소방방재관리,최정희,경기(북),경기남양주제2015-4호,702100,,,,,,
소방설비,소방시설공사업,5547.0,주식회사 세원방재,조수진,광주,2023-02-00115,701400,,,,,,
소방설비,소방시설공사업,5548.0,(주)광민소방,이종현,경북,제2014-7호,700900,,,,,,
소방설비,소방시설공사업,5549.0,서현종합건설 주식회사,이동주,대구,2025-02-00241,700600,,,,,,
소방설비,소방시설공사업,5550.0,남광기업(주),최동호,인천,인천부평 제2005-14호,700400,,,,,,
소방설비,소방시설공사업,5551.0,금아이엔지(주),이현열,경남,2023-02-00332,700100,,,,,,
소방설비,소방시설공사업,5552.0,주식회사 아이엘,송성근,충남,2022-02-00133,699900,,,,,,
소방설비,소방시설공사업,5553.0,비에스건설(주),문명희,충남,제2014-1호,699100,,,,,,
소방설비,소방시설공사업,5554.0,주식회사 유수,박만식,강원,2019-02-00121,699000,,,,,,
소방설비,소방시설공사업,5555.0,(주)우송전기,김희중,충남,제2006-5호,698600,,,,,,
소방설비,소방시설공사업,5556.0,(주)한국소방산업,박채은,충남,2019-02-00441,698400,,,,,,
소방설비,소방시설공사업,5557.0,주식회사 동우소방,윤정은,제주,2022-02-00159,698300,,,,,,
소방설비,소방시설공사업,5558.0,주식회사 하나소방이엔지,박혜원,충남,2025-02-00206,698200,,,,,,
소방설비,소방시설공사업,5559.0,정진소방,홍순천,부산,2020-02-00200,698100,,,,,,
소방설비,소방시설공사업,5560.0,주식회사 지광,박행제,부산,2023-02-00252,698100,,,,,,
소방설비,소방시설공사업,5561.0,주식회사 으뜸소방,윤동근,울산,2024-02-00119,697400,,,,,,
소방설비,소방시설공사업,5562.0,주식회사 태경이엔씨,전삼식,대구,2015-02-00111,696600,,,,,,
소방설비,소방시설공사업,5563.0,다움에프엠씨 주식회사,홍재준,대구,2024-02-00229,696600,,,,,,
소방설비,소방시설공사업,5564.0,(주)한남전기통신공사,이승재,경북,2015-02-00203,696600,,,,,,
소방설비,소방시설공사업,5565.0,주식회사 포유전력,박윤복,대구,2024-02-00157,695800,,,,,,
소방설비,소방시설공사업,5566.0,더좋은이엔지 주식회사,김종덕,서울,2021-02-00386,695600,,,,,,
소방설비,소방시설공사업,5567.0,주식회사 대양전기엔지니어링,정창수,경기(남),2024-02-00154,695100,,,,,,
소방설비,소방시설공사업,5568.0,더세이프 주식회사,김성한,서울,제관악2015-03호,695000,,,,,,
소방설비,소방시설공사업,5569.0,주식회사 남도전공,박봉순,전북,2018-02-00355,694100,,,,,,
소방설비,소방시설공사업,5570.0,주식회사 존전기,전상열,대전,2025-02-00020,694000,,,,,,
소방설비,소방시설공사업,5571.0,(주)파이로엔지니어링,강혜원,경기(남),2022-02-00458,693500,,,,,,
소방설비,소방시설공사업,5572.0,일양전설 주식회사,김장수,경기(남),2022-02-00328,693300,,,,,,
소방설비,소방시설공사업,5573.0,주식회사 서금아쿠아,이동현,경기(남),2022-02-00321,693200,,,,,,
소방설비,소방시설공사업,5574.0,주식회사 이레,강진영,강원,2026-02-00123,691900,,,,,,
소방설비,소방시설공사업,5575.0,주식회사 신우,홍성만,대구,2021-02-00275,691400,,,,,,
소방설비,소방시설공사업,5576.0,주식회사 동양전기소방,임용호,경북,2020-02-00633,690800,,,,,,
소방설비,소방시설공사업,5577.0,주식회사 무건전기통신,염성희,대구,2020-02-00349,690600,,,,,,
소방설비,소방시설공사업,23.0,(주)건우전력건설,박태규,경기(남),경기성남 제2006-19호,690400,,,,,,
소방설비,소방시설공사업,5578.0,온누리이엔지 주식회사,전영선,서울,2021-02-00071,690100,,,,,,
소방설비,소방시설공사업,5579.0,주식회사 디케이이앤씨,김철한,충북,2020-02-00558,690100,,,,,,
소방설비,소방시설공사업,5580.0,(주)산에들에,김창서,인천,2026-02-00136,690000,,,,,,
소방설비,소방시설공사업,5580.0,주식회사 태윤산업개발,정화순,경기(남),2025-02-00047,690000,,,,,,
소방설비,소방시설공사업,5582.0,(주)에이디파워,양승선,서울,2017-02-00277,690000,,,,,,
소방설비,소방시설공사업,5583.0,연우산업 주식회사,박영애,경남,2025-02-00302,689900,,,,,,
소방설비,소방시설공사업,5583.0,주식회사 에스앤에이치,김현철,전북,2025-02-00217,689900,,,,,,
소방설비,소방시설공사업,5583.0,주식회사 에이치와이소방,현병욱,충북,2025-02-00151,689900,,,,,,
소방설비,소방시설공사업,5583.0,주식회사 춘천소방기술,최선우,강원,2025-02-00307,689900,,,,,,
소방설비,소방시설공사업,5583.0,주식회사 성창이앤지,손창익,울산,2025-02-00166,689900,,,,,,
소방설비,소방시설공사업,5583.0,주식회사 무유소방,정균필,광주,2025-02-00126,689900,,,,,,
소방설비,소방시설공사업,5583.0,삼토토건 주식회사,박대영,대구,2025-02-00187,689900,,,,,,
소방설비,소방시설공사업,5590.0,동광전력(주),유영근,서울,제구로 2008-21호,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 동일스위트,박성배,부산,2022-02-00158,689900,,,,,,
소방설비,소방시설공사업,5590.0,신현대전력공사,백인성,경기(북),제경기의정부 2004-07호,689900,,,,,,
소방설비,소방시설공사업,5590.0,(주)일경엔지니어링,신희철,서울,2024-02-00390,689900,,,,,,
소방설비,소방시설공사업,5590.0,진용전력,김동진,인천,2023-02-00385,689900,,,,,,
소방설비,소방시설공사업,5590.0,재원소방,이병양,충북,2020-02-00468,689900,,,,,,
소방설비,소방시설공사업,5590.0,삼진공작 주식회사,황선복,서울,2023-02-00246,689900,,,,,,
소방설비,소방시설공사업,5590.0,한솔제지 주식회사,한경록,서울,2022-02-00233,689900,,,,,,
소방설비,소방시설공사업,5590.0,새론이엔에이 주식회사,이춘열,서울,2020-02-00153,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 서원이엔지,강주석,경기(남),2024-02-00357,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 유엔에이엔지니어링,강명훈,경기(남),경기군포제2015-1호,689900,,,,,,
소방설비,소방시설공사업,5590.0,삼진종합건설(주),이문형,경기(남),경기수원 제2009-44호,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 멀티,황진아,전북,2024-02-00130,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 성진전력,오세주,울산,2024-02-00224,689900,,,,,,
소방설비,소방시설공사업,5590.0,코레일테크(주),류영수,대전,제2009-4호,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 삼미방재,형요엘,전남,2024-02-00193,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 선명산업,한재용,충남,2020-02-00612,689900,,,,,,
소방설비,소방시설공사업,5590.0,주식회사 태현소방,하태부,전북,2024-02-00386,689900,,,,,,
소방설비,소방시설공사업,24.0,(주)진광테크,김종상,경남,거제제2013-05호,689900,,,,,,
소방설비,소방시설공사업,5608.0,경문이엔지(주),소순근,서울,제노원2010-4호,689900,,,,,,
소방설비,소방시설공사업,5609.0,유경산업,김봉주,부산,제2004-30호,689500,,,,,,
소방설비,소방시설공사업,5610.0,거림소방 주식회사,김명옥,강원,제47호,689300,,,,,,
소방설비,소방시설공사업,5611.0,영일이앤씨(주),강홍규,경남,2015-02-00346,689200,,,,,,
소방설비,소방시설공사업,25.0,세중이엔지 주식회사,김학건,경기(남),2016-02-00627,689100,,,,,,
소방설비,소방시설공사업,5612.0,(주)엘비케이,변상훈,서울,제강서2012-2호,688600,,,,,,
소방설비,소방시설공사업,5613.0,주식회사 온누리전기,이상미,충남,2024-02-00401,688300,,,,,,
소방설비,소방시설공사업,5614.0,라성전력 주식회사,이국찬,강원,2015-02-00196,688100,,,,,,
소방설비,소방시설공사업,5615.0,(주)창조전기소방,천종필,경북,제2014-9호,688000,,,,,,
소방설비,소방시설공사업,5616.0,주식회사 케이에스소방,강성표,충남,2023-02-00165,687800,,,,,,
소방설비,소방시설공사업,5617.0,주식회사 다인이엔씨,이미옥,대구,2021-02-00377,687600,,,,,,
소방설비,소방시설공사업,5618.0,주식회사 경성이엔지,김용주,경북,2018-02-00394,687200,,,,,,
소방설비,소방시설공사업,5619.0,(주)영전사,김명호,경기(남),경기군포 제2012-1호,687100,,,,,,
소방설비,소방시설공사업,5620.0,아시아소방전력(주),어명희,울산,제2012-9호,687100,,,,,,
소방설비,소방시설공사업,5621.0,주식회사 미동이앤지,홍경희,경남,2016-02-00096,686000,,,,,,
소방설비,소방시설공사업,5622.0,세정이엔씨(주),박정근,인천,2015-02-00412,685900,,,,,,
소방설비,소방시설공사업,5623.0,주식회사 한별이엔씨,최주희,경기(남),2024-02-00032,685600,,,,,,
소방설비,소방시설공사업,5624.0,(주)금강이엔지,강유구,광주,2016-02-00401,684800,,,,,,
소방설비,소방시설공사업,5625.0,정우에너텍 유한책임회사,박상열,인천,2020-02-00172,684500,,,,,,
소방설비,소방시설공사업,5626.0,주식회사 동신,김기현,서울,2018-02-00505,684100,,,,,,
소방설비,소방시설공사업,5626.0,주식회사 삼우이앤씨,홍성욱,서울,2020-02-00269,684100,,,,,,
소방설비,소방시설공사업,26.0,(주)엠케이전력,김만능,경남,2020-02-00089,684000,,,,,,
소방설비,소방시설공사업,5628.0,(주)벽우,한기흥,충남,제2001-3호,683800,,,,,,
소방설비,소방시설공사업,5629.0,(주)진성이앤지,김재환,부산,2020-02-00399,683600,,,,,,
소방설비,소방시설공사업,5630.0,주식회사 진화방재이엔씨,김상희,서울,2023-02-00297,682900,,,,,,
소방설비,소방시설공사업,5631.0,성우소방이엔지 주식회사,심창조,부산,2022-02-00261,682800,,,,,,
소방설비,소방시설공사업,5632.0,우창전력(주),권선욱,충북,제97-11호,682500,,,,,,
소방설비,소방시설공사업,5633.0,주식회사 누리이앤씨,권현정,경남,2025-02-00325,682300,,,,,,
소방설비,소방시설공사업,5634.0,아전이엔씨(주),김윤태,서울,2023-02-00102,682200,,,,,,
소방설비,소방시설공사업,5635.0,이룸테크 주식회사,김지수,서울,2022-02-00390,682000,,,,,,
소방설비,소방시설공사업,5636.0,태화전기 주식회사,이윤정,서울,2021-02-00495,681900,,,,,,
소방설비,소방시설공사업,5637.0,주식회사 대승소방전력,이승호,대전,2022-02-00446,681600,,,,,,
소방설비,소방시설공사업,5638.0,(주)한성시스코,박근식,대전,2019-02-00322,681400,,,,,,
소방설비,소방시설공사업,5639.0,주식회사 세원전기(Sewon Electric Co.),손정환,충북,2023-02-00364,681300,,,,,,
소방설비,소방시설공사업,5640.0,(주)국민소방,장세훈,부산,2017-02-00623,679400,,,,,,
소방설비,소방시설공사업,5641.0,주식회사 가야산업개발,김혜주,부산,2020-02-00007,679300,,,,,,
소방설비,소방시설공사업,5642.0,주식회사 선전력시스템,임철학,서울,2024-02-00300,679200,,,,,,
소방설비,소방시설공사업,7.0,주식회사 에이치비이엔지,양해범,서울,2024-02-00105,679200,,,,,,
소방설비,소방시설공사업,5643.0,주식회사 아진테크노피아,서명순,전북,2022-02-00180,679100,,,,,,
소방설비,소방시설공사업,5644.0,인덕전설(주),전기태,경기(남),2026-02-00112,678300,,,,,,
소방설비,소방시설공사업,5645.0,(주)신광전력,구성서,충북,2017-02-00093,678300,,,,,,
소방설비,소방시설공사업,27.0,(주)유스이앤씨,최강호,서울,2020-02-00097,678300,,,,,,
소방설비,소방시설공사업,5646.0,주식회사 영민,방지혜,강원,2017-02-00313,678100,,,,,,
